Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
116,Eliminated,10,5,8,3,10,46.0%,50,14.92,90.0%,58.0%,56.0%,52.0%,46.0%,-,-,-,-,-,-
117,Eliminated,10,10,10,3,8,46.0%,50,16.24,84.0%,58.0%,58.0%,52.0%,46.0%,-,-,-,-,-,-
118,Eliminated,15,10,8,2,4,46.0%,50,15.66,74.0%,74.0%,56.0%,66.0%,46.0%,-,-,-,-,-,-
119,Eliminated,20,0,6,2,4,46.0%,50,6.42,96.0%,56.0%,52.0%,52.0%,46.0%,-,-,-,-,-,-
120,Eliminated,20,0,8,1,6,46.0%,50,7.40,94.0%,52.0%,58.0%,62.0%,46.0%,-,-,-,-,-,-
121,Eliminated,20,0,10,2,4,46.0%,50,6.52,90.0%,62.0%,52.0%,54.0%,46.0%,-,-,-,-,-,-
122,Eliminated,20,20,8,3,10,46.0%,50,20.00,82.0%,60.0%,54.0%,52.0%,46.0%,-,-,-,-,-,-
123,Eliminated,0,0,6,2,10,44.0%,50,4.76,94.0%,54.0%,58.0%,50.0%,44.0%,-,-,-,-,-,-
124,Eliminated,5,5,6,2,8,44.0%,50,13.60,90.0%,62.0%,56.0%,62.0%,44.0%,-,-,-,-,-,-
125,Eliminated,5,5,8,3,6,44.0%,50,12.38,88.0%,54.0%,66.0%,54.0%,44.0%,-,-,-,-,-,-
126,Eliminated,5,20,6,3,10,44.0%,50,17.04,88.0%,54.0%,50.0%,54.0%,44.0%,-,-,-,-,-,-
127,Eliminated,10,0,4,3,6,44.0%,50,6.28,92.0%,52.0%,52.0%,60.0%,44.0%,-,-,-,-,-,-
128,Eliminated,10,20,6,3,6,44.0%,50,19.28,86.0%,60.0%,72.0%,58.0%,44.0%,-,-,-,-,-,-
129,Eliminated,15,5,8,2,6,44.0%,50,12.74,90.0%,52.0%,58.0%,56.0%,44.0%,-,-,-,-,-,-
130,Eliminated,15,10,8,2,8,44.0%,50,18.88,92.0%,54.0%,52.0%,56.0%,44.0%,-,-,-,-,-,-
131,Eliminated,20,5,6,2,6,44.0%,50,13.10,88.0%,70.0%,60.0%,54.0%,44.0%,-,-,-,-,-,-
132,Eliminated,20,20,6,3,6,44.0%,50,19.36,74.0%,60.0%,66.0%,64.0%,44.0%,-,-,-,-,-,-
